first_name,group_name,classification,frequency_female,frequency_male,frequency_total,frequency_group,ratio,alternative_names
"ABIEL","ABEL","M","",349,349,42182,1,"ABEL|ABIAIL|ABIL|ADAEL|ADAHIL|ADAHYL|ADAIL|ADAL|ADAYL|ADEIL|ADEL|ADIEL|ADIL|ADOEL|ADUIL|ADYEL|ADYL"
"ABIESER","ABIEZER","M","",47,47,208,1,"ABIEZER"
"ABIEZER","ABIEZER","M","",161,161,208,1,"ABIESER"
"ABIGAEL","ABIGAIL","M","",36,36,10483,1,"ABIGAIL|ABIGAL|ABIGUAIL|HABIGAIL"
"ABIGAI","ABIGAIR","F",38,"",38,427,1,"ABIGAIR|ADIJAIR"
"ABIGAIL","ABIGAIL","F",10122,181,10303,10483,0.98,"ABIGAEL|ABIGAL|ABIGUAIL|HABIGAIL"
"ABIGAIR","ABIGAIR","F",311,27,338,427,0.92,"ABIGAI|ADIJAIR"
"ABIGAIU","ABIGAIU","F",615,"",615,615,1,""
"ABIGAL","ABIGAIL","F",87,"",87,10483,1,"ABIGAEL|ABIGAIL|ABIGUAIL|HABIGAIL"
"ABIGUAIL","ABIGAIL","F",32,"",32,10483,1,"ABIGAEL|ABIGAIL|ABIGAL|HABIGAIL"
"ABIL","ABEL","M","",53,53,42182,1,"ABEL|ABIAIL|ABIEL|ADAEL|ADAHIL|ADAHYL|ADAIL|ADAL|ADAYL|ADEIL|ADEL|ADIEL|ADIL|ADOEL|ADUIL|ADYEL|ADYL"
"ABILA","ADELAR","F",207,"",207,20461,1,"ABELA|ABELAR|ABILHA|ABLA|ADAILA|ADALA|ADALHA|ADEILA|ADELA|ADELAR|ADELHA|ADILA|ADILAR|ADILHA|ADLA|ADLAR|ADOLAR|ADYLA|HADILA|HADLA"
"ABILANE","ADELANE","F",23,"",23,1614,1,"ADAILANE|ADEILANE|ADELANE|ADILANE|ADLANE"
"ABILDE","ADEILDE","F",65,64,129,2832,0.5,"ADAILDE|ADALBER|ADEILDE|ADILDE"
"ABILE","ADLER","M","",44,44,2695,1,"ABELE|ADAILE|ADELE|ADELER|ADIELE|ADILE|ADILER|ADLE|ADLER|HADLER"
"ABILENE","ADILENE","F",973,21,994,3996,0.98,"ABLENE|ADALENE|ADELENE|ADILENE|ADLENE"
"ABILENI","ADILENI","F",30,"",30,81,1,"ADILENI"
"ABILHA","ADELAR","F",46,"",46,20461,1,"ABELA|ABELAR|ABILA|ABLA|ADAILA|ADALA|ADALHA|ADEILA|ADELA|ADELAR|ADELHA|ADILA|ADILAR|ADILHA|ADLA|ADLAR|ADOLAR|ADYLA|HADILA|HADLA"
"ABILHIO","ABILIO","M","",29,29,25665,1,"ABELIO|ABILIO|ABLIO|ADAELIO|ADAILIO|ADALIO|ADELIO|ADILHIO|ADILIO|ADLIO|ADUILIO"
"ABILHO","ADILHO","M","",509,509,2849,1,"ABELO|ABELOR|ABILO|ABLO|ADAILO|ADALHO|ADALO|ADELHO|ADELO|ADELOR|ADILHO|ADILO|ADILOR|ADUILO"
"ABILI","ADELIR","M","",59,59,8037,1,"ABELI|ADAELI|ADALI|ADALIR|ADALY|ADELEI|ADELI|ADELIR|ADELY|ADIELI|ADIELY|ADILEI|ADILEY|ADILI|ADLEI|ADLEY|ADLI|ADLY|ADOLI|ADOLIR|HADLEY"
"ABILIA","ADELIA","F",553,"",553,42957,1,"ABELAIR|ABELIA|ADALHIA|ADALIA|ADELAI|ADELAIR|ADELHIA|ADELIA|ADILAI|ADILAIR|ADILIA|ADLAI|ADLAIR|ADLIA"
"ABILIANE","ADELAINE","F",21,"",21,3944,1,"ADALIANE|ADELAINE|ADELAYNE|ADELIANE|ADILAINE|ADILIANE|ADLAINE"
"ABILINO","ADELINO","M","",34,34,26586,1,"ABELINO|ADALINO|ADELINO|ADILINO|ADLINO|ADOLINO"
"ABILIO","ABILIO","M",35,13709,13744,25665,1,"ABELIO|ABILHIO|ABLIO|ADAELIO|ADAILIO|ADALIO|ADELIO|ADILHIO|ADILIO|ADLIO|ADUILIO"
"ABILO","ADILHO","M","",307,307,2849,1,"ABELO|ABELOR|ABILHO|ABLO|ADAILO|ADALHO|ADALO|ADELHO|ADELO|ADELOR|ADILHO|ADILO|ADILOR|ADUILO"
"ABIMAEL","ABIMAEL","M",46,7464,7510,7798,0.99,"ABIMAIL|ABIMAL|ABIMEL|ABYMAEL|ADIMAEL"
"ABIMAELE","ABIMAELE","F",21,"",21,21,1,""
"ABIMAIL","ABIMAEL","F",21,"",21,7798,1,"ABIMAEL|ABIMAL|ABIMEL|ABYMAEL|ADIMAEL"
"ABIMAL","ABIMAEL","M","",35,35,7798,1,"ABIMAEL|ABIMAIL|ABIMEL|ABYMAEL|ADIMAEL"
"ABIMAR","ADIMAR","M","",95,95,2266,1,"ADIMA|ADIMAR"
"ABIMELEQUE","ABIMELEQUE","M","",36,36,36,1,""
"ABINA","ADINA","F",76,"",76,2781,1,"ADEINA|ADINA|ADINAR|ADYNA"
"ABINADA","ABINADA","M","",22,22,22,1,""
"ABINADAB","ABINADAB","M","",82,82,82,1,""
"ABINADABE","ABINADABE","M",47,371,418,418,0.89,""
"ABINADABI","ABINADABI","M","",84,84,84,1,""
"ABINAEL","ADINAEL","M","",588,588,1857,1,"ABINAL|ABINEL|ABINOEL|ADINAEL|ADINAL|ADINEL|ADINIL|ADINOEL"
"ABINAIR","ADINAIR","F",27,"",27,360,1,"ADINAI|ADINAIR"
"ABINAL","ADINAEL","M","",21,21,1857,1,"ABINAEL|ABINEL|ABINOEL|ADINAEL|ADINAL|ADINEL|ADINIL|ADINOEL"
"ABINALDO","ADINALDO","M","",104,104,2081,1,"ADINAILDO|ADINALDO|ADINILDO"
"ABINE","ABINER","M",21,230,251,1582,0.92,"ABINER|ABYNER|ADEINE|ADINE|ADINER|HABINER"
"ABINEIA","ADINEIA","F",23,"",23,997,1,"ADINEIA"
"ABINEL","ADINAEL","M","",166,166,1857,1,"ABINAEL|ABINAL|ABINOEL|ADINAEL|ADINAL|ADINEL|ADINIL|ADINOEL"
"ABINER","ABINER","M","",942,942,1582,1,"ABINE|ABYNER|ADEINE|ADINE|ADINER|HABINER"
"ABINI","ADINEI","M","",42,42,1057,1,"ADINEI|ADINEY|ADINI|ADINIR|ADINY"
"ABINO","ADINOR","M","",100,100,587,1,"ADEINO|ADINHO|ADINO|ADINOR"
"ABINOA","ABINOA","F",44,33,77,77,0.57,""
"ABINOAM","ABINOAN","F",32,25,57,290,0.56,"ABINOAN|ADINOAN"
"ABINOAN","ABINOAN","M",111,122,233,290,0.52,"ABINOAM|ADINOAN"
"ABINOEL","ADINAEL","M","",45,45,1857,1,"ABINAEL|ABINAL|ABINEL|ADINAEL|ADINAL|ADINEL|ADINIL|ADINOEL"
"ABIO","ADIO","M","",89,89,184,1,"ADIO"
"ABIQUEILA","ABIQUEILA","F",186,"",186,186,1,""
"ABIR","ADIR","F",35,"",35,18895,1,"ABEIR|ABI|ADEI|ADEIR|ADEY|ADI|ADIR|ADUIR|ADY|ADYR|HADI|HADY"
"ABIRAN","ADIRAN","M","",21,21,96,1,"ADIRAN"
